Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
RENZO GENNARI,3.2,1.0,6.0,1.0,0.8,0.2,0.4,10.6,5,191,52,68,57,113,79,82,201,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RENZO GIORDANO,6.0,0.0,2.0,2.0,2.0,0.0,1.0,9.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/bD1tkXGVTR4UgMcg2mJPd4.jpg
RENZO PENALOZA,1.0,0.25,2.5,0.0,0.5,0.0,0.25,4.0,4,232,83,156,89,120,86,89,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RHYS SAMUEL LOGAN,17.0,0.25,3.5,1.25,1.5,4.25,0.75,21.5,4,18,83,127,47,89,3,67,63,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"RIAT, FACUNDO",0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/vMh6tMpdt679GTkoHsJfHs.jpg
RICARDO FRANCISCO MARENGO,0.0,0.5,1.0,0.0,0.0,0.0,0.5,2.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/4dsWtdeyK6wCGrpNzVsNiq.jpg
RICCA IVAN,4.0,1.2,6.6,0.4,0.6,0.8,1.2,13.0,5,176,43,60,75,119,52,48,163,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/qxqQLu1cxS1qyGScG4jsMu.jpg
RISSO GUIDO,1.6666666666666667,0.0,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,3,219,89,168,89,124,75,84,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ROBERTO CATALDI,4.333333333333333,1.0,5.666666666666667,0.0,1.6666666666666667,0.3333333333333333,1.0,12.0,3,171,52,73,89,84,75,57,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ROCCO CAPACCIONI,3.65,1.3,3.3,0.45,1.3,0.2,0.4,8.65,7,183,37,132,74,98,79,82,233,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rDiqbX2ZsKKV4z2gMr8bYK.jpg
RODOLFO CORONEL,0.0,0.5,1.5,0.0,0.0,0.0,0.5,2.5,4,246,74,179,89,133,86,77,327,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6gWTpLC5Hs5FCmdtoY1cEr.jpg
RODOLFO DI BIASE,15.0,2.0,8.0,1.0,4.0,2.0,3.0,28.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO ALBARRACIN,9.0,0.0,3.5,1.0,4.0,0.0,1.0,13.5,4,93,89,127,57,35,86,57,158,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7em6dHEMTZHkvA57aBie5A.jpg
RODRIGO ALEJANDRO PEREZ,7.0,1.0,5.333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,15.666666666666666,3,121,52,79,45,97,44,20,127,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO BARRETO,2.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO BISKAYSAKY,3.6,1.2,4.8,0.4,1.0,0.4,1.0,10.6,5,185,43,89,75,109,72,57,201,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO CARINELLI,9.75,2.0,10.5,0.25,4.0,0.5,1.0,23.25,4,85,22,14,82,35,65,57,51,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO COSCARELLI,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,5.333333333333333,3,208,66,181,89,116,75,57,289,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO EXEQUIEL HEREDIA,0.8333333333333334,0.3333333333333333,4.333333333333334,0.0,0.16666666666666666,0.16666666666666666,1.1666666666666665,6.666666666666667,4,235,81,101,89,130,80,50,263,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO GARCIA,7.0,2.6666666666666665,10.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,20.666666666666668,3,121,12,18,77,62,57,57,73,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/tHxqbMXa9TNBN3sg4pGEw5.jpg
RODRIGO LACONTE,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,3,238,81,194,89,124,86,84,334,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO PICCOLINI,9.4,3.2,6.8,0.2,1.6,2.0,1.4,20.8,5,88,7,56,83,88,21,42,71,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO VALLADARES,1.3333333333333333,0.6666666666666666,4.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6.333333333333333,3,227,66,108,77,133,75,84,269,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGO VILCHES,8.5,1.75,3.75,0.75,2.0,1.25,1.75,15.75,4,100,26,119,62,75,38,29,126,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
RODRIGUEZ JULIO,5.25,0.25,6.5,0.75,2.25,0.0,1.0,13.0,4,153,83,62,62,67,86,57,163,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
