categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,EZEQUIEL BONET,1.0,0.0,2.0,0.0,0.5,0.0,0.0,3.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,EZEQUIEL FERNANDEZ NAVONE,7.0,0.0,5.0,0.5,2.5,0.5,0.0,12.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,EZEQUIEL GOMEZ,16.333333333333332,2.3333333333333335,4.0,4.0,5.666666666666667,0.3333333333333333,0.0,22.666666666666668,3,8,10,55,4,8,26,39,26,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,EZEQUIEL LOPEZ AMALFARA,3.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,EZEQUIEL PEREZ GUNTIN,9.0,1.25,4.75,1.75,2.5,0.75,0.5,15.5,4,48,22,47,17,34,21,33,56,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/h6XD6QZpjDNkZcVcW7QWBW.JPG
PRIMERA B,EZEQUIEL ROZENFARB,6.666666666666667,3.3333333333333335,3.6666666666666665,1.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,15.333333333333334,3,63,3,59,28,36,26,17,58,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FABIAN FONTEIRIZ,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FABRICIO MEDINA,2.25,0.5,3.5,0.5,0.5,0.25,0.25,6.5,4,102,32,61,34,57,27,37,122,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO ALVAREZ,6.5,1.1666666666666667,3.8333333333333335,0.6666666666666666,1.6666666666666667,0.8333333333333334,1.8333333333333333,13.333333333333334,6,64,24,56,32,43,19,14,71,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
PRIMERA B,FACUNDO BAZTAN,14.0,1.0,4.5,4.5,4.0,0.5,2.0,21.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
