team,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,dispersion_promedio
PM,227,56.75,179,44.75,30,7.5,40,10.0,85,21.25,26,6.5,62,15.5,25,6.25,476,119.0,4,8.416423121036312
PM B,163,40.75,155,38.75,29,7.25,43,10.75,68,17.0,10,2.5,52,13.0,29,7.25,390,97.5,4,6.913883377326725
POLENTA,228,45.6,174,34.8,38,7.6,41,8.2,61,12.2,25,5.0,67,13.4,19,3.8,481,96.2,5,6.663800210119453
QUIMERA,279,55.8,259,51.8,48,9.6,39,7.8,69,13.8,20,4.0,92,18.4,35,7.0,625,125.0,5,10.52854335671489
RDB,228,57.0,188,47.0,52,13.0,47,11.75,76,19.0,13,3.25,81,20.25,27,6.75,515,128.75,4,8.231477388584842
RUTA 7,195,48.75,217,54.25,37,9.25,34,8.5,55,13.75,13,3.25,67,16.75,22,5.5,483,120.75,4,10.359980598101702
SAN MARTEAM,104,34.666666666666664,106,35.333333333333336,17,5.666666666666667,21,7.0,31,10.333333333333334,13,4.333333333333333,24,8.0,17,5.666666666666667,248,82.66666666666667,3,5.958042487418279
SINGAPUR,484,48.4,411,41.1,42,4.2,93,9.3,155,15.5,43,4.3,153,15.3,49,4.9,1030,103.0,10,10.067714982155099
SLAM DUNK,158,31.6,184,36.8,22,4.4,28,5.6,70,14.0,12,2.4,54,10.8,14,2.8,392,78.4,5,6.923155144223125
SOCIALES,365,45.625,348,43.5,38,4.75,47,5.875,123,15.375,36,4.5,105,13.125,47,5.875,798,99.75,8,6.320033922100755
TEKILA TEAM,162,54.0,119,39.666666666666664,25,8.333333333333334,23,7.666666666666667,66,22.0,15,5.0,52,17.333333333333332,13,4.333333333333333,329,109.66666666666667,3,8.113911469645922
TELEFONOS,244,48.8,182,36.4,24,4.8,46,9.2,84,16.8,28,5.6,67,13.4,26,5.2,496,99.2,5,6.407898899392299
TEMPUR,371,61.833333333333336,286,47.666666666666664,44,7.333333333333333,55,9.166666666666666,97,16.166666666666668,31,5.166666666666667,110,18.333333333333332,58,9.666666666666666,756,126.0,6,9.344265749503137
TEMPUR A,168,56.0,128,42.666666666666664,19,6.333333333333333,21,7.0,50,16.666666666666668,9,3.0,56,18.666666666666668,29,9.666666666666666,336,112.0,3,10.764837799667726
TEMPUR B,149,49.666666666666664,130,43.333333333333336,21,7.0,24,8.0,40,13.333333333333334,8,2.6666666666666665,52,17.333333333333332,21,7.0,324,108.0,3,7.817039725497314
THE NETBALLERS,160,53.333333333333336,121,40.333333333333336,26,8.666666666666666,23,7.666666666666667,21,7.0,11,3.6666666666666665,54,18.0,19,6.333333333333333,330,110.0,3,8.138278260084263
TORTUGOS,211,52.75,191,47.75,24,6.0,39,9.75,64,16.0,14,3.5,73,18.25,23,5.75,465,116.25,4,9.576493150316715
UDESA OT,282,47.0,207,34.5,24,4.0,35,5.833333333333333,77,12.833333333333334,21,3.5,82,13.666666666666666,55,9.166666666666666,548,91.33333333333333,6,7.9470647471675635
UGAB BASQUET,215,53.75,153,38.25,8,2.0,28,7.0,58,14.5,27,6.75,55,13.75,24,6.0,404,101.0,4,6.589049082172976
UNDERSHOW,118,59.0,75,37.5,18,9.0,26,13.0,38,19.0,10,5.0,35,17.5,18,9.0,237,118.5,2,9.276006731938349
UNION,215,43.0,205,41.0,43,8.6,50,10.0,70,14.0,23,4.6,60,12.0,26,5.2,513,102.6,5,7.554840483729095
VECCHIA SIGNORA,336,67.2,199,39.8,38,7.6,68,13.6,77,15.4,32,6.4,88,17.6,64,12.8,641,128.2,5,12.09017934658021
VIVEZA CRIOLLA,250,83.33333333333333,133,44.333333333333336,60,20.0,16,5.333333333333333,54,18.0,40,13.333333333333334,54,18.0,22,7.333333333333333,459,153.0,3,7.941610451920174
WEST,357,51.0,356,50.857142857142854,58,8.285714285714286,52,7.428571428571429,115,16.428571428571427,28,4.0,112,16.0,49,7.0,823,117.57142857142857,7,7.500881300633657
X-CLUTCH,242,60.5,161,40.25,36,9.0,29,7.25,73,18.25,30,7.5,62,15.5,28,7.0,468,117.0,4,6.889028421715906
